filenames,uncertainty_max,uncertainty_topk,uncertainty_entropy,uncertainty_gcnu,uncertainty_mmd,uncertainty_wasserstein,uncertainty_wasserstein_pca
8988385_3096614_x384_y0_crop9075.png,0.05140179395675659,0.05723446607589722,8.152262687683105,0.053647249937057495,0.942083477973938,593.8139038085938,3.046333584438254
9024157_3110373_x128_y128_crop8965.png,0.04011613130569458,0.04200470447540283,8.150696754455566,0.04119810461997986,0.8733845353126526,568.0939331054688,2.951638816083645
9010399_3126883_x0_y384_crop2300.png,0.06597775220870972,0.07155704498291016,8.161360740661621,0.0698588490486145,0.9835677742958069,573.0127563476562,3.2331494752206167
8993888_3093862_x128_y384_crop3133.png,0.04802626371383667,0.053642868995666504,8.152729988098145,0.0502464659512043,0.9385746717453003,591.1797485351562,2.982939158449222
9002144_3126883_x384_y128_crop4119.png,0.16490399837493896,0.16732090711593628,8.176581382751465,0.17995673418045044,1.0477842092514038,552.13330078125,4.213053062618613
8985633_3146145_x384_y256_crop475.png,0.0591588020324707,0.06268900632858276,8.15754222869873,0.06198432669043541,0.9591705203056335,578.290771484375,2.9894705879100547
9002144_3146145_x384_y128_crop7383.png,0.04731893539428711,0.04881972074508667,8.153836250305176,0.04912659153342247,0.9501940608024597,597.9302368164062,3.1426427803002035
8988385_3113124_x0_y128_crop1364.png,0.051754534244537354,0.06289494037628174,8.15378189086914,0.05375858023762703,0.9437278509140015,578.348388671875,3.081564129265455
9013151_3091111_x384_y256_crop4427.png,0.051579952239990234,0.05579167604446411,8.151445388793945,0.05346554517745972,0.9030886888504028,576.217529296875,3.0377007196979084
9032413_3126883_x0_y0_crop3376.png,0.046101152896881104,0.04981505870819092,8.152053833007812,0.04768770933151245,0.9357816576957703,593.9202270507812,3.0499557910144746
9007647_3110373_x0_y256_crop648.png,0.05703192949295044,0.0614088773727417,8.153915405273438,0.059922780841588974,0.9022097587585449,559.3882446289062,2.8245363876873797
